timestamp,time_elapsed,ozone_pct,temperature_c,pressure_mbar,sample_v,ref_v
36:20.3,07:14.1,1.35,28.3,1025.1,0.9479,0.72637
36:22.2,07:16.1,1.35,28.3,1025.2,0.94807,0.72641
36:24.2,07:18.0,1.34,28.3,1025.1,0.9482,0.72703
36:26.2,07:20.0,1.35,28.3,1025.2,0.94838,0.72665
36:28.2,07:22.0,1.35,28.3,1025.2,0.94854,0.72623
36:30.2,07:24.0,1.35,28.3,1025.3,0.9487,0.72585
36:32.5,07:26.3,1.35,28.3,1025.3,0.94885,0.72555
36:34.2,07:28.0,1.35,28.3,1025.1,0.949,0.72606
36:36.2,07:30.0,1.35,28.3,1024.9,0.94916,0.72684
36:38.3,07:32.1,1.35,28.3,1025.2,0.94933,0.72686
36:40.3,07:34.1,1.35,28.3,1025.2,0.94948,0.72673
36:42.2,07:36.0,1.35,28.3,1025.1,0.94963,0.72624
36:44.2,07:38.0,1.36,28.3,1025.1,0.94978,0.72558
36:46.2,07:40.1,1.36,28.3,1024.8,0.94996,0.72543
36:48.3,07:42.2,1.35,28.3,1025.1,0.9501,0.72635
36:50.2,07:44.1,1.35,28.3,1025.2,0.95027,0.72672
36:52.4,07:46.2,1.35,28.3,1025.1,0.95041,0.7265
36:54.2,07:48.0,1.36,28.3,1025.1,0.95056,0.72595
36:56.2,07:50.1,1.36,28.3,1025.1,0.95074,0.72543
36:58.2,07:52.0,1.36,28.3,1025.1,0.95089,0.72527
37:00.3,07:54.2,1.36,28.3,1025.1,0.95104,0.72573
37:02.2,07:56.0,1.36,28.3,1025.3,0.9512,0.72647
37:04.3,07:58.1,1.36,28.3,1024.8,0.95135,0.7266
37:06.2,08:00.0,1.36,28.3,1025.1,0.95151,0.72676
37:08.3,08:02.1,1.36,28.3,1024.9,0.95167,0.72594
37:10.2,08:04.0,1.36,28.3,1025.2,0.95182,0.72563
37:12.2,08:06.0,1.36,28.3,1024.8,0.95197,0.7257
37:14.2,08:08.1,1.36,28.3,1024.9,0.95213,0.72649
37:16.3,08:10.1,1.36,28.3,1025.1,0.9523,0.72697
37:18.2,08:12.0,1.36,28.3,1024.9,0.95245,0.72666
37:20.2,08:14.1,1.36,28.3,1024.9,0.9526,0.72634
37:22.3,08:16.1,1.37,28.3,1025.2,0.95274,0.72584
37:24.2,08:18.1,1.37,28.3,1025.1,0.95291,0.7257
37:26.3,08:20.1,1.37,28.3,1025.2,0.95306,0.72576
37:28.2,08:22.1,1.36,28.3,1025.2,0.95321,0.72666
37:30.3,08:24.1,1.36,28.3,1025.2,0.95335,0.72717
37:32.3,08:26.1,1.36,28.3,1025.1,0.95353,0.72708
37:34.2,08:28.0,1.37,28.3,1025.2,0.95368,0.72604
37:36.2,08:30.0,1.37,28.3,1025.1,0.95383,0.72554
37:38.3,08:32.1,1.37,28.3,1025.2,0.954,0.72573
37:40.3,08:34.1,1.37,28.3,1025.3,0.95415,0.72597
37:42.2,08:36.1,1.37,28.3,1024.9,0.95429,0.72697
37:44.3,08:38.1,1.37,28.3,1024.9,0.95445,0.72708
37:46.3,08:40.1,1.37,28.3,1025.2,0.9546,0.72673
37:48.3,08:42.1,1.37,28.3,1025.2,0.95476,0.72619
37:50.2,08:44.0,1.37,28.3,1025.3,0.95492,0.7261
37:52.2,08:46.0,1.37,28.3,1025.2,0.95507,0.72628
37:54.2,08:48.0,1.37,28.3,1025.1,0.95521,0.72676
37:56.2,08:50.1,1.37,28.3,1024.9,0.95538,0.72735
37:58.3,08:52.1,1.37,28.3,1025.1,0.95553,0.72725
38:00.3,08:54.1,1.37,28.3,1025.2,0.95567,0.72722
38:02.2,08:56.0,1.37,28.3,1024.9,0.95584,0.72649
38:04.3,08:58.1,1.37,28.3,1025.1,0.95599,0.72689
38:06.2,09:00.1,1.37,28.3,1025.1,0.95615,0.72699
38:08.2,09:02.0,1.37,28.3,1025.2,0.9563,0.7277
38:10.2,09:04.1,1.37,28.3,1025.1,0.95644,0.72788
38:12.3,09:06.1,1.37,28.3,1024.8,0.95661,0.72778
38:14.3,09:08.1,1.38,28.3,1024.9,0.95675,0.72694
38:16.2,09:10.0,1.38,28.3,1025.1,0.9569,0.72655
38:18.3,09:12.1,1.38,28.3,1024.9,0.95707,0.72667
38:20.2,09:14.1,1.38,28.3,1025.1,0.95721,0.72722
38:22.3,09:16.1,1.37,28.3,1024.9,0.95736,0.72758
38:24.2,09:18.0,1.37,28.3,1025.1,0.95752,0.72789
38:26.3,09:20.2,1.37,28.3,1025.1,0.95767,0.72776
38:28.2,09:22.1,1.38,28.3,1025.1,0.95782,0.72725
38:30.3,09:24.2,1.38,28.3,1024.9,0.95797,0.72696
38:32.3,09:26.1,1.38,28.3,1025.1,0.95813,0.727
38:34.2,09:28.0,1.38,28.3,1024.9,0.95828,0.72814
38:36.2,09:30.0,1.37,28.3,1025.1,0.95842,0.72862
38:38.3,09:32.1,1.38,28.3,1024.8,0.95859,0.72814
38:40.2,09:34.0,1.38,28.3,1024.8,0.95874,0.72806
38:42.2,09:36.0,1.38,28.3,1024.9,0.95888,0.72753
38:44.2,09:38.1,1.38,28.3,1024.9,0.95904,0.7275
38:46.3,09:40.1,1.38,28.3,1024.9,0.9592,0.72819
38:48.2,09:42.1,1.38,28.3,1025.1,0.95937,0.72887
38:50.2,09:44.0,1.38,28.3,1025.1,0.95951,0.72898
38:52.3,09:46.1,1.38,28.4,1024.9,0.95966,0.72873
38:54.2,09:48.0,1.38,28.4,1024.9,0.9598,0.7283
38:56.2,09:50.0,1.38,28.4,1024.9,0.95996,0.72798
38:58.2,09:52.0,1.38,28.4,1024.9,0.9601,0.72819
39:00.3,09:54.1,1.38,28.4,1024.9,0.96026,0.72906
39:02.2,09:56.0,1.38,28.4,1024.9,0.9604,0.72942
39:04.3,09:58.1,1.38,28.4,1024.9,0.96056,0.7294
39:06.3,10:00.1,1.38,28.4,1024.9,0.96072,0.72907
39:08.3,10:02.1,1.38,28.4,1025.1,0.96086,0.72847
39:10.3,10:04.1,1.38,28.5,1025.1,0.96102,0.72847
39:12.2,10:06.1,1.38,28.5,1025.1,0.96118,0.72855
39:14.2,10:08.0,1.38,28.5,1024.9,0.96131,0.72955
39:16.2,10:10.1,1.38,28.5,1024.9,0.96147,0.73022
39:18.3,10:12.1,1.38,28.5,1025.1,0.96163,0.72985
39:20.2,10:14.1,1.38,28.5,1025.2,0.96178,0.72938
39:22.3,10:16.1,1.39,28.6,1025.1,0.96193,0.72897
39:24.2,10:18.0,1.39,28.6,1025.2,0.96209,0.72901
39:26.3,10:20.2,1.38,28.6,1024.8,0.96224,0.72962
39:28.2,10:22.0,1.38,28.6,1025.2,0.96239,0.7306
39:30.2,10:24.0,1.38,28.6,1025.3,0.96255,0.7306
39:32.3,10:26.2,1.38,28.6,1024.9,0.96269,0.73003
39:34.3,10:28.1,1.39,28.6,1025.1,0.96284,0.72964
39:36.2,10:30.0,1.39,28.6,1024.9,0.96299,0.72959
39:38.3,10:32.1,1.39,28.7,1024.9,0.96315,0.72984
39:40.2,10:34.1,1.38,28.6,1024.9,0.96329,0.73068
39:42.3,10:36.1,1.38,28.7,1025.1,0.96344,0.7313
39:44.2,10:38.0,1.38,28.7,1024.9,0.9636,0.73104
39:46.2,10:40.0,1.39,28.7,1024.9,0.96375,0.73027
39:48.4,10:42.2,1.39,28.7,1025.1,0.9639,0.72997
39:50.2,10:44.0,1.39,28.7,1025.1,0.96404,0.73033
39:52.3,10:46.1,1.39,28.7,1025.2,0.96421,0.73051
39:54.3,10:48.2,1.38,28.7,1025.1,0.96435,0.73165
39:56.3,10:50.1,1.38,28.7,1025.1,0.9645,0.73189
39:58.2,10:52.1,1.38,28.7,1025.3,0.96465,0.73158
40:00.2,10:54.0,1.38,28.7,1025.2,0.96482,0.73171
40:02.3,10:56.1,1.39,28.7,1025.1,0.96496,0.73117
40:04.2,10:58.1,1.39,28.7,1025.1,0.96512,0.73134
40:06.2,11:00.0,1.38,28.7,1025.1,0.96525,0.73208
40:08.2,11:02.0,1.38,28.7,1025.1,0.96541,0.7326
40:10.2,11:04.0,1.38,28.7,1024.9,0.96556,0.7324
40:12.2,11:06.0,1.38,28.7,1025.1,0.96572,0.73231
40:14.2,11:08.0,1.39,28.7,1025.2,0.96588,0.73177
