timestamp,esp_ts_ms,vessel_o3_pct,cell_temp_c,pressure_mbar,room_o3_ppm,vessel_temp_c,power_target,power_actual,wiper_v
1969-12-31 19:03:16.948000,196948,0.01,20.0,1030.7,0.0,-999.0,0,0.0,0.068
1969-12-31 19:03:18.948000,198948,0.01,20.0,1030.7,0.0,14.0,0,0.2,0.085
1969-12-31 19:03:20.948000,200948,0.01,20.0,1030.7,0.0,-999.0,0,0.3,0.089
1969-12-31 19:03:22.948000,202948,0.01,20.0,1030.7,0.0,-999.0,0,0.0,0.081
1969-12-31 19:03:24.948000,204948,0.01,20.0,1030.7,0.0,-999.0,0,0.1,0.083
1969-12-31 19:03:26.948000,206948,0.01,20.0,1030.7,0.0,14.2,0,0.0,0.081
1969-12-31 19:03:28.948000,208948,0.01,20.0,1030.7,0.0,-999.0,0,0.0,0.08
1969-12-31 19:03:30.948000,210948,0.01,20.0,1030.7,0.0,14.1,0,0.0,0.081
1969-12-31 19:03:32.948000,212948,0.01,20.0,1030.7,0.0,-999.0,0,0.5,0.095
1969-12-31 19:03:34.948000,214948,0.01,20.0,1030.7,0.0,14.0,0,0.2,0.085
1969-12-31 19:03:36.948000,216948,0.01,20.0,1030.9,0.0,-999.0,0,0.0,0.078
1969-12-31 19:03:38.948000,218948,0.01,20.0,1030.7,0.0,-999.0,0,0.0,0.081
1969-12-31 19:03:40.948000,220948,0.01,20.0,1030.7,0.0,-999.0,0,0.2,0.087
1969-12-31 19:03:42.948000,222948,0.01,20.0,1030.8,0.0,-999.0,0,0.1,0.082
1969-12-31 19:03:44.948000,224948,0.01,20.0,1030.7,0.0,-999.0,0,0.0,0.081
1969-12-31 19:03:46.948000,226948,0.01,20.0,1030.7,0.0,-999.0,0,0.4,0.093
1969-12-31 19:03:48.948000,228948,0.01,20.0,1030.7,0.0,-999.0,0,0.1,0.082
1969-12-31 19:03:50.948000,230948,0.01,20.0,1030.8,0.0,-999.0,0,0.0,0.077
1969-12-31 19:03:52.948000,232948,0.01,20.0,1030.7,0.0,14.1,0,0.2,0.085
1969-12-31 19:03:54.948000,234948,0.01,20.0,1030.8,0.0,-999.0,0,0.2,0.087
1969-12-31 19:03:56.948000,236948,0.01,20.0,1030.7,0.0,14.1,0,0.3,0.09
1969-12-31 19:03:58.948000,238948,0.01,20.0,1030.8,0.0,-999.0,0,0.0,0.081
1969-12-31 19:04:00.948000,240948,0.01,20.0,1030.7,0.0,14.2,0,0.1,0.083
1969-12-31 19:04:02.948000,242948,0.01,20.0,1030.8,0.0,-999.0,0,0.5,0.096
1969-12-31 19:04:04.948000,244948,0.01,20.0,1030.8,0.0,14.2,0,0.2,0.087
1969-12-31 19:04:06.948000,246948,0.01,20.0,1030.9,0.0,14.2,0,0.3,0.089
1969-12-31 19:04:08.948000,248948,0.01,20.0,1030.8,0.0,14.2,0,0.0,0.077
1969-12-31 19:04:10.948000,250948,0.0,20.0,1030.9,0.0,14.1,0,0.2,0.086
1969-12-31 19:04:12.948000,252948,0.0,20.0,1030.8,0.0,14.2,0,0.2,0.085
1969-12-31 19:04:14.948000,254948,0.0,20.0,1030.8,0.0,14.1,0,0.0,0.077
1969-12-31 19:04:16.948000,256948,0.01,20.0,1030.8,0.0,-999.0,0,0.3,0.089
1969-12-31 19:04:18.948000,258948,0.01,20.0,1030.8,0.0,14.2,0,0.2,0.085
1969-12-31 19:04:20.948000,260948,0.0,20.0,1030.7,0.0,-999.0,0,0.1,0.085
1969-12-31 19:04:22.948000,262948,0.0,20.0,1030.8,0.0,14.3,0,0.3,0.09
1969-12-31 19:04:24.948000,264948,0.0,20.0,1030.7,0.0,-999.0,0,0.0,0.079
1969-12-31 19:04:26.948000,266948,0.0,20.1,1030.7,0.0,-999.0,0,0.3,0.089
1969-12-31 19:04:28.948000,268948,0.0,20.1,1030.7,0.0,-999.0,0,0.3,0.089
1969-12-31 19:04:30.948000,270948,0.0,20.1,1030.7,0.0,14.1,0,0.0,0.081
1969-12-31 19:04:32.948000,272948,0.0,20.1,1030.7,0.0,-999.0,0,0.0,0.08
1969-12-31 19:04:34.948000,274948,0.0,20.1,1030.7,0.0,14.1,0,0.2,0.085
1969-12-31 19:04:36.948000,276948,0.0,20.1,1030.5,0.0,-999.0,0,0.1,0.083
1969-12-31 19:04:38.948000,278948,0.0,20.2,1030.7,0.0,14.2,0,0.0,0.079
1969-12-31 19:04:40.948000,280948,0.0,20.2,1030.7,0.0,-999.0,0,0.0,0.079
1969-12-31 19:04:42.948000,282948,0.0,20.2,1030.7,0.0,14.2,0,0.3,0.089
1969-12-31 19:04:44.948000,284948,0.0,20.3,1030.7,0.0,-999.0,0,0.2,0.085
1969-12-31 19:04:46.948000,286948,0.0,20.3,1030.7,0.0,14.2,0,0.3,0.089
1969-12-31 19:04:48.948000,288948,0.0,20.3,1030.7,0.0,-999.0,0,0.0,0.081
1969-12-31 19:04:50.948000,290948,0.0,20.3,1030.7,0.0,-999.0,0,0.4,0.092
1969-12-31 19:04:52.948000,292948,0.0,20.4,1030.5,0.0,-999.0,0,0.2,0.087
1969-12-31 19:04:54.948000,294948,0.0,20.4,1030.7,0.0,14.2,0,0.4,0.093
1969-12-31 19:04:56.948000,296948,0.0,20.4,1030.7,0.0,-999.0,0,0.7,0.103
1969-12-31 19:04:58.949000,298949,0.0,20.4,1030.7,0.0,-999.0,0,0.4,0.092
1969-12-31 19:05:00.948000,300948,0.0,20.4,1030.7,0.0,-999.0,0,0.2,0.085
1969-12-31 19:05:02.948000,302948,0.0,20.4,1030.7,0.0,14.2,0,0.2,0.088
1969-12-31 19:05:04.948000,304948,0.0,20.4,1030.7,0.0,-999.0,0,0.3,0.09
1969-12-31 19:05:06.948000,306948,0.0,20.4,1030.7,0.0,14.2,0,0.2,0.087
1969-12-31 19:05:08.948000,308948,0.0,20.4,1030.7,0.0,14.4,0,0.0,0.079
1969-12-31 19:05:10.948000,310948,0.0,20.4,1030.7,0.0,14.1,0,0.1,0.085
1969-12-31 19:05:12.948000,312948,0.0,20.5,1030.7,0.0,14.2,0,0.1,0.084
1969-12-31 19:05:14.948000,314948,0.0,20.5,1030.7,0.0,-999.0,0,0.4,0.094
1969-12-31 19:05:16.948000,316948,0.0,20.5,1030.7,0.0,14.2,0,0.7,0.102
1969-12-31 19:05:18.948000,318948,0.0,20.5,1030.7,0.0,14.1,0,0.2,0.087
1969-12-31 19:05:20.948000,320948,0.0,20.5,1030.7,0.0,14.2,0,0.2,0.087
1969-12-31 19:05:22.948000,322948,0.0,20.5,1030.7,0.0,14.2,0,0.2,0.088
1969-12-31 19:05:24.948000,324948,0.0,20.5,1030.7,0.0,14.2,0,0.0,0.079
1969-12-31 19:05:26.948000,326948,0.0,20.5,1030.7,0.0,14.0,0,0.2,0.088
1969-12-31 19:05:28.948000,328948,0.0,20.5,1030.7,0.0,14.1,0,0.3,0.09
1969-12-31 19:05:30.948000,330948,0.0,20.5,1030.7,0.0,-999.0,0,0.2,0.086
1969-12-31 19:05:32.948000,332948,0.0,20.5,1030.7,0.0,14.1,0,0.4,0.094
1969-12-31 19:05:34.948000,334948,0.0,20.5,1030.8,0.0,-999.0,0,0.2,0.086
1969-12-31 19:05:36.948000,336948,0.0,20.5,1030.7,0.0,14.2,0,0.0,0.081
1969-12-31 19:05:38.948000,338948,0.0,20.5,1030.8,0.0,-999.0,0,0.1,0.082
1969-12-31 19:05:40.948000,340948,0.0,20.5,1030.7,0.0,14.0,0,0.1,0.085
1969-12-31 19:05:42.948000,342948,0.0,20.5,1030.7,0.0,-999.0,0,0.0,0.081
1969-12-31 19:05:44.948000,344948,0.0,20.5,1030.7,0.0,14.1,0,0.1,0.085
1969-12-31 19:05:46.948000,346948,0.0,20.5,1030.7,0.0,-999.0,0,0.1,0.083
1969-12-31 19:05:48.948000,348948,0.0,20.5,1030.8,0.0,14.1,0,0.0,0.081
1969-12-31 19:05:50.948000,350948,0.0,20.5,1030.7,0.0,-999.0,0,0.1,0.084
1969-12-31 19:05:52.948000,352948,0.0,20.5,1030.7,0.0,14.1,0,0.4,0.094
1969-12-31 19:05:54.949000,354949,0.0,20.5,1030.7,0.0,-999.0,0,0.0,0.081
1969-12-31 19:05:56.948000,356948,0.0,20.5,1030.7,0.0,14.2,0,0.2,0.087
1969-12-31 19:05:58.948000,358948,0.0,20.5,1030.7,0.0,-999.0,0,0.4,0.092
1969-12-31 19:06:00.948000,360948,0.0,20.5,1030.7,0.0,-999.0,0,0.1,0.084
1969-12-31 19:06:02.948000,362948,0.0,20.5,1030.7,0.0,-999.0,0,0.4,0.092
1969-12-31 19:06:04.948000,364948,0.0,20.5,1030.7,0.0,-999.0,0,0.2,0.088
1969-12-31 19:06:06.948000,366948,0.0,20.5,1030.7,0.0,-999.0,0,0.2,0.085
1969-12-31 19:06:08.948000,368948,0.0,20.5,1030.7,0.0,-999.0,0,0.0,0.08
1969-12-31 19:06:10.948000,370948,0.0,20.5,1030.7,0.0,14.2,0,0.2,0.085
1969-12-31 19:06:12.948000,372948,0.0,20.5,1030.7,0.0,-999.0,0,0.3,0.089
1969-12-31 19:06:14.948000,374948,0.0,20.5,1030.7,0.0,14.2,0,0.1,0.085
1969-12-31 19:06:16.948000,376948,0.0,20.5,1030.7,0.0,-999.0,0,0.5,0.097
1969-12-31 19:06:18.948000,378948,0.0,20.5,1030.8,0.0,-999.0,19,20.3,0.716
1969-12-31 19:06:20.948000,380948,0.0,20.5,1030.7,0.0,-999.0,31,31.9,1.082
1969-12-31 19:06:22.948000,382948,0.0,20.5,1030.7,0.0,-999.0,12,12.8,0.483
1969-12-31 19:06:24.948000,384948,0.0,20.5,1030.7,0.0,14.4,0,0.4,0.094
1969-12-31 19:06:26.948000,386948,0.0,20.5,1030.7,0.0,-999.0,0,0.3,0.089
1969-12-31 19:06:28.948000,388948,0.0,20.5,1030.7,0.0,14.2,0,0.2,0.086
1969-12-31 19:06:30.948000,390948,0.0,20.5,1030.5,0.0,14.2,0,0.3,0.091
1969-12-31 19:06:32.948000,392948,0.0,20.5,1030.8,0.0,14.3,0,0.4,0.092
1969-12-31 19:06:34.948000,394948,0.0,20.5,1030.7,0.0,-999.0,0,0.1,0.082
1969-12-31 19:06:36.948000,396948,0.0,20.5,1030.7,0.0,14.2,14,14.8,0.546
1969-12-31 19:06:38.948000,398948,0.0,20.5,1030.7,0.0,14.1,23,23.3,0.812
1969-12-31 19:06:40.948000,400948,0.0,20.5,1030.7,0.0,14.1,19,19.3,0.686
1969-12-31 19:06:42.948000,402948,0.0,20.5,1030.7,0.0,14.2,0,0.0,0.079
1969-12-31 19:06:44.948000,404948,0.0,20.5,1030.7,0.0,14.4,0,0.6,0.099
1969-12-31 19:06:46.948000,406948,0.0,20.5,1030.7,0.0,14.4,0,0.3,0.091
1969-12-31 19:06:48.948000,408948,0.0,20.5,1030.7,0.0,14.2,0,0.3,0.091
1969-12-31 19:06:50.948000,410948,0.0,20.5,1030.7,0.0,14.1,0,0.4,0.092
1969-12-31 19:06:52.948000,412948,0.0,20.5,1030.7,0.0,14.2,0,0.5,0.096
