pc_timestamp,esp_timestamp_ms,ozone_wt_pct,temperature_c,pressure_mbar,sample_pdv_v,ref_pdv_v
2025-12-10T17:12:35.271145,2056791,0.21,33.4,1010.0,1.34338,1.22496
2025-12-10T17:12:45.261427,2066791,0.21,33.4,1009.9,1.34393,1.22545
2025-12-10T17:12:55.256492,2076791,0.21,33.5,1009.9,1.34446,1.22593
2025-12-10T17:13:05.297136,2086791,0.21,33.5,1009.9,1.345,1.22643
2025-12-10T17:13:15.276575,2096791,0.21,33.6,1009.9,1.34554,1.2269
2025-12-10T17:13:25.397050,2106791,0.21,33.6,1010.0,1.34608,1.22739
2025-12-10T17:13:35.260485,2116791,0.21,33.6,1010.0,1.34662,1.22787
2025-12-10T17:13:45.279681,2126791,0.21,33.6,1009.9,1.34715,1.22836
2025-12-10T17:13:55.270738,2136791,0.21,33.6,1010.3,1.34768,1.22883
2025-12-10T17:14:05.401326,2146791,0.21,33.6,1009.9,1.34819,1.22927
2025-12-10T17:14:15.261091,2156791,0.21,33.6,1009.7,1.34871,1.22976
2025-12-10T17:14:25.271841,2166791,0.21,33.6,1009.7,1.34926,1.23022
2025-12-10T17:14:35.268002,2176791,0.21,33.6,1010.0,1.34976,1.23069
2025-12-10T17:14:45.257992,2186791,0.21,33.6,1009.9,1.35028,1.23116
2025-12-10T17:14:55.262662,2196791,0.21,33.6,1009.7,1.3508,1.23163
2025-12-10T17:15:05.253897,2206791,0.21,33.6,1009.7,1.35129,1.23209
2025-12-10T17:15:15.267037,2216791,0.21,33.6,1009.9,1.3518,1.23253
2025-12-10T17:15:25.261064,2226791,0.21,33.6,1009.9,1.35229,1.23298
2025-12-10T17:15:35.260701,2236791,0.21,33.6,1009.7,1.35281,1.23343
2025-12-10T17:15:45.305459,2246791,0.21,33.6,1009.7,1.3533,1.23388
2025-12-10T17:15:55.305532,2256791,0.21,33.6,1009.9,1.35379,1.23432
2025-12-10T17:16:05.280675,2266791,0.21,33.6,1009.9,1.35427,1.23477
2025-12-10T17:16:15.274536,2276791,0.21,33.6,1009.7,1.35476,1.2352
2025-12-10T17:16:25.271842,2286791,0.21,33.6,1009.7,1.35523,1.23564
2025-12-10T17:16:35.284252,2296791,0.21,33.6,1009.7,1.35573,1.23606
2025-12-10T17:16:45.356621,2306791,0.21,33.6,1009.7,1.3562,1.23652
2025-12-10T17:16:55.287767,2316791,0.21,33.6,1009.6,1.35669,1.23693
2025-12-10T17:17:05.398713,2326791,0.21,33.6,1009.9,1.35717,1.23737
2025-12-10T17:17:15.281563,2336790,0.21,33.6,1009.7,1.35763,1.2378
2025-12-10T17:17:25.313661,2346791,0.21,33.7,1009.7,1.35811,1.23821
2025-12-10T17:17:35.260966,2356791,0.21,33.7,1009.7,1.35859,1.23865
2025-12-10T17:17:45.275843,2366791,0.21,33.7,1009.7,1.35904,1.23906
2025-12-10T17:17:55.269745,2376791,0.21,33.7,1009.7,1.35951,1.23949
2025-12-10T17:18:05.308319,2386791,0.21,33.7,1009.7,1.35998,1.23991
2025-12-10T17:18:15.317480,2396791,0.21,33.8,1009.9,1.36042,1.2403
2025-12-10T17:18:25.283668,2406791,0.21,33.8,1009.9,1.36089,1.24071
2025-12-10T17:18:35.364208,2416791,0.21,33.8,1009.7,1.36133,1.24109
2025-12-10T17:18:45.283001,2426791,0.21,33.9,1009.9,1.36177,1.24149
2025-12-10T17:18:55.265762,2436791,0.21,33.9,1009.9,1.3622,1.24191
2025-12-10T17:19:05.264704,2446791,0.21,34.0,1010.0,1.36264,1.24229
2025-12-10T17:19:15.262267,2456791,0.21,34.0,1009.7,1.36308,1.24268
2025-12-10T17:19:25.255551,2466791,0.21,34.0,1009.6,1.36352,1.24307
2025-12-10T17:19:35.337379,2476801,0.21,34.1,1009.9,1.36394,1.24345
2025-12-10T17:19:45.286164,2486801,0.21,34.1,1009.9,1.36437,1.24384
2025-12-10T17:19:55.320683,2496801,0.21,34.1,1009.7,1.36479,1.24423
2025-12-10T17:20:05.296289,2506801,0.21,34.1,1009.7,1.36522,1.24458
2025-12-10T17:20:15.280255,2516801,0.21,34.1,1009.7,1.36561,1.24495
2025-12-10T17:20:25.341592,2526801,0.21,34.1,1009.7,1.36604,1.24534
2025-12-10T17:20:35.323620,2536801,0.21,34.1,1009.9,1.36642,1.24568
2025-12-10T17:20:45.302858,2546801,0.21,34.1,1009.9,1.36682,1.24604
2025-12-10T17:20:55.305616,2556801,0.21,34.1,1009.7,1.36723,1.24641
2025-12-10T17:21:05.359156,2566801,0.21,34.1,1009.6,1.36761,1.24675
2025-12-10T17:21:15.271404,2576801,0.21,34.1,1009.7,1.368,1.24709
2025-12-10T17:21:25.281305,2586801,0.21,34.1,1009.7,1.3684,1.24744
2025-12-10T17:21:35.277022,2596801,0.21,34.1,1009.9,1.36878,1.24779
2025-12-10T17:21:45.279326,2606801,0.21,34.1,1009.9,1.36914,1.24811
2025-12-10T17:21:55.272472,2616801,0.21,34.1,1009.7,1.36951,1.24844
2025-12-10T17:22:05.406756,2626801,0.21,34.1,1009.9,1.36986,1.24875
2025-12-10T17:22:15.316232,2636802,0.21,34.1,1009.7,1.37022,1.24907
2025-12-10T17:22:25.298188,2646801,0.21,34.1,1010.0,1.37056,1.24937
2025-12-10T17:22:35.292976,2656801,0.21,34.1,1009.7,1.37087,1.24965
2025-12-10T17:22:45.278322,2666801,0.21,34.1,1009.7,1.37121,1.24994
2025-12-10T17:22:55.280812,2676801,0.21,34.1,1009.7,1.37152,1.25023
2025-12-10T17:23:05.332568,2686801,0.21,34.1,1009.7,1.37188,1.25057
2025-12-10T17:23:15.314066,2696801,0.21,34.1,1009.7,1.37227,1.25088
2025-12-10T17:23:25.345125,2706805,0.21,34.1,1009.7,1.37264,1.25123
2025-12-10T17:23:35.280483,2716801,0.21,34.1,1009.7,1.37303,1.25159
2025-12-10T17:23:45.330435,2726801,0.21,34.1,1009.7,1.37339,1.25191
2025-12-10T17:23:55.295385,2736801,0.21,34.1,1009.7,1.37379,1.25225
2025-12-10T17:24:05.352123,2746801,0.21,34.1,1009.6,1.37415,1.2526
2025-12-10T17:24:15.293501,2756801,0.21,34.1,1009.7,1.37455,1.25293
2025-12-10T17:24:25.317350,2766801,0.21,34.1,1009.7,1.37491,1.25325
2025-12-10T17:24:35.280892,2776801,0.21,34.1,1009.7,1.37528,1.25359
2025-12-10T17:24:45.323605,2786801,0.21,34.2,1009.7,1.37566,1.25393
2025-12-10T17:24:55.453537,2796801,0.21,34.2,1009.9,1.376,1.25424
2025-12-10T17:25:05.287935,2806801,0.21,34.2,1009.9,1.37639,1.25457
2025-12-10T17:25:15.280287,2816801,0.21,34.2,1009.6,1.37675,1.2549
2025-12-10T17:25:25.299624,2826801,0.21,34.3,1009.7,1.3771,1.25523
2025-12-10T17:25:35.281806,2836801,0.21,34.3,1009.7,1.37746,1.25554
2025-12-10T17:25:45.328242,2846801,0.21,34.3,1009.7,1.37782,1.25588
2025-12-10T17:25:55.283645,2856801,0.21,34.4,1009.7,1.37816,1.25618
2025-12-10T17:26:05.308213,2866801,0.21,34.4,1009.9,1.37854,1.2565
2025-12-10T17:26:15.287916,2876801,0.21,34.4,1009.7,1.37888,1.25681
2025-12-10T17:26:25.297550,2886801,0.21,34.4,1009.7,1.37923,1.25712
2025-12-10T17:26:35.282775,2896801,0.21,34.5,1009.7,1.37958,1.25743
2025-12-10T17:26:45.287180,2906801,0.21,34.5,1009.7,1.37994,1.25774
2025-12-10T17:26:55.349147,2916801,0.21,34.5,1009.7,1.38028,1.25805
2025-12-10T17:27:05.301588,2926801,0.21,34.6,1009.9,1.38061,1.25835
2025-12-10T17:27:15.306737,2936801,0.21,34.6,1009.7,1.38094,1.25865
2025-12-10T17:27:25.320229,2946801,0.21,34.6,1009.7,1.38128,1.25895
2025-12-10T17:27:35.297588,2956801,0.21,34.6,1009.6,1.38161,1.25926
2025-12-10T17:27:45.301592,2966801,0.21,34.6,1009.7,1.38194,1.25955
2025-12-10T17:27:55.293414,2976801,0.21,34.6,1009.7,1.38229,1.25983
2025-12-10T17:28:05.317795,2986801,0.21,34.6,1009.6,1.38259,1.26013
2025-12-10T17:28:15.289774,2996801,0.21,34.6,1009.6,1.38294,1.26041
2025-12-10T17:28:25.324364,3006801,0.21,34.6,1009.5,1.38325,1.26072
2025-12-10T17:28:35.324078,3016801,0.21,34.6,1009.7,1.38358,1.26098
2025-12-10T17:28:45.331650,3026801,0.21,34.6,1009.6,1.38388,1.26127
2025-12-10T17:28:55.285769,3036801,0.21,34.6,1009.6,1.3842,1.26154
2025-12-10T17:29:05.292303,3046801,0.21,34.6,1009.6,1.38453,1.26184
2025-12-10T17:29:15.287998,3056801,0.21,34.6,1009.6,1.38485,1.26212
2025-12-10T17:29:25.281856,3066801,0.21,34.6,1009.6,1.38516,1.26242
2025-12-10T17:29:35.337476,3076811,0.21,34.6,1009.6,1.38547,1.26268
2025-12-10T17:29:45.294464,3086811,0.21,34.6,1009.7,1.38577,1.26294
2025-12-10T17:29:55.317196,3096811,0.21,34.6,1010.1,1.38609,1.2632
2025-12-10T17:30:05.351245,3106811,0.21,34.6,1009.6,1.38639,1.26349
2025-12-10T17:30:15.383750,3116811,0.21,34.6,1009.7,1.38669,1.26376
2025-12-10T17:30:25.292932,3126811,0.21,34.6,1011.1,1.38699,1.26404
2025-12-10T17:30:35.309679,3136811,0.21,34.6,1011.2,1.3873,1.26429
2025-12-10T17:30:45.298544,3146811,0.21,34.6,1011.6,1.38759,1.26456
2025-12-10T17:30:55.294553,3156811,0.21,34.6,1012.7,1.38789,1.26482
2025-12-10T17:31:05.283186,3166811,0.21,34.6,1012.5,1.3882,1.2651
2025-12-10T17:31:15.300940,3176813,0.21,34.6,1012.3,1.38849,1.26536
2025-12-10T17:31:25.311998,3186811,0.21,34.6,1012.9,1.3888,1.26564
2025-12-10T17:31:35.309957,3196811,0.21,34.6,1013.2,1.38908,1.26589
2025-12-10T17:31:45.319064,3206811,0.21,34.6,1012.9,1.38939,1.26616
2025-12-10T17:31:55.324729,3216811,0.21,34.6,1012.1,1.38967,1.26641
2025-12-10T17:32:05.295327,3226811,0.21,34.6,1012.0,1.38997,1.26668
2025-12-10T17:32:15.291536,3236811,0.21,34.6,1012.8,1.39025,1.26694
2025-12-10T17:32:25.306181,3246811,0.21,34.6,1012.9,1.39053,1.26718
2025-12-10T17:32:35.304703,3256811,0.21,34.6,1012.5,1.39081,1.26743
2025-12-10T17:32:45.298519,3266811,0.21,34.6,1012.7,1.39109,1.2677
2025-12-10T17:32:55.303155,3276811,0.21,34.6,1011.7,1.39138,1.26794
2025-12-10T17:33:05.369357,3286811,0.21,34.6,1012.7,1.39165,1.2682
2025-12-10T17:33:15.299003,3296811,0.21,34.7,1011.6,1.39192,1.26843
2025-12-10T17:33:25.320185,3306811,0.21,34.7,1012.3,1.3922,1.26867
2025-12-10T17:33:35.298130,3316811,0.21,34.7,1012.4,1.39247,1.26891
2025-12-10T17:33:45.377076,3326810,0.21,34.7,1012.9,1.39275,1.26915
2025-12-10T17:33:55.308128,3336811,0.21,34.8,1012.9,1.39302,1.26938
2025-12-10T17:34:05.343370,3346813,0.21,34.8,1013.1,1.39329,1.26962
2025-12-10T17:34:15.314601,3356811,0.21,34.8,1012.7,1.39356,1.26985
2025-12-10T17:34:25.312621,3366811,0.21,34.9,1013.1,1.39383,1.27008
2025-12-10T17:34:35.290829,3376811,0.21,34.9,1012.4,1.3941,1.27033
2025-12-10T17:34:45.307292,3386811,0.21,34.9,1012.7,1.39435,1.27056
2025-12-10T17:34:55.358127,3396811,0.21,34.9,1013.1,1.39462,1.2708
2025-12-10T17:35:05.328022,3406811,0.21,34.9,1012.7,1.39487,1.27102
2025-12-10T17:35:15.306033,3416811,0.21,35.0,1012.4,1.39513,1.27125
2025-12-10T17:35:25.384266,3426811,0.21,35.0,1012.4,1.39538,1.27148
2025-12-10T17:35:35.300380,3436811,0.21,35.0,1012.5,1.39566,1.2717
2025-12-10T17:35:45.307216,3446811,0.21,35.0,1012.0,1.39591,1.27194
2025-12-10T17:35:55.323291,3456811,0.21,35.0,1012.4,1.39616,1.27216
2025-12-10T17:36:05.309121,3466811,0.21,35.1,1012.4,1.39642,1.27239
2025-12-10T17:36:15.300590,3476811,0.21,35.1,1012.0,1.39666,1.2726
2025-12-10T17:36:25.395537,3486811,0.21,35.1,1012.0,1.3969,1.27282
2025-12-10T17:36:35.299821,3496810,0.21,35.1,1011.9,1.39715,1.27303
2025-12-10T17:36:45.331737,3506811,0.21,35.1,1012.0,1.3974,1.27325
2025-12-10T17:36:55.311423,3516811,0.21,35.1,1012.3,1.39765,1.27346
2025-12-10T17:37:05.316131,3526811,0.21,35.1,1011.5,1.39787,1.27368
2025-12-10T17:37:15.310795,3536811,0.21,35.1,1012.0,1.39813,1.2739
2025-12-10T17:37:25.303350,3546811,0.21,35.1,1012.1,1.39836,1.27411
2025-12-10T17:37:35.332993,3556811,0.21,35.1,1012.4,1.3986,1.27432
2025-12-10T17:37:45.400554,3566811,0.21,35.1,1012.0,1.39884,1.27452
2025-12-10T17:37:55.314567,3576811,0.21,35.1,1012.8,1.39906,1.27472
2025-12-10T17:38:05.304573,3586810,0.21,35.1,1012.5,1.39933,1.27494
2025-12-10T17:38:15.301471,3596811,0.21,35.1,1012.7,1.39954,1.27515
